Rainfall - (MM), Year, Statistics, Country, ISO3
162.513, 2007, Nov Average, Sri Lanka, LKA
196.94, 2007, Dec Average, Sri Lanka, LKA
58.9211, 2008, Jan Average, Sri Lanka, LKA
115.767, 2008, Feb Average, Sri Lanka, LKA
260.719, 2008, Mar Average, Sri Lanka, LKA
166.941, 2008, Apr Average, Sri Lanka, LKA
49.5477, 2008, May Average, Sri Lanka, LKA
71.3787, 2008, Jun Average, Sri Lanka, LKA
91.2404, 2008, Jul Average, Sri Lanka, LKA
184.951, 2008, Aug Average, Sri Lanka, LKA
43.0614, 2008, Sep Average, Sri Lanka, LKA
309.852, 2008, Oct Average, Sri Lanka, LKA
315.345, 2008, Nov Average, Sri Lanka, LKA
309.234, 2008, Dec Average, Sri Lanka, LKA
69.7448, 2009, Jan Average, Sri Lanka, LKA
15.3257, 2009, Feb Average, Sri Lanka, LKA
147.57, 2009, Mar Average, Sri Lanka, LKA
148.893, 2009, Apr Average, Sri Lanka, LKA
50.1059, 2009, May Average, Sri Lanka, LKA
57.5663, 2009, Jun Average, Sri Lanka, LKA
44.8452, 2009, Jul Average, Sri Lanka, LKA
146.376, 2009, Aug Average, Sri Lanka, LKA
89.7702, 2009, Sep Average, Sri Lanka, LKA
173.963, 2009, Oct Average, Sri Lanka, LKA
508.884, 2009, Nov Average, Sri Lanka, LKA
184.647, 2009, Dec Average, Sri Lanka, LKA
74.3759, 2010, Jan Average, Sri Lanka, LKA
0.0061, 2010, Feb Average, Sri Lanka, LKA
0.01158, 2010, Mar Average, Sri Lanka, LKA
30.3783, 2010, Apr Average, Sri Lanka, LKA
155.292, 2010, May Average, Sri Lanka, LKA
69.0184, 2010, Jun Average, Sri Lanka, LKA
115.574, 2010, Jul Average, Sri Lanka, LKA
50.1403, 2010, Aug Average, Sri Lanka, LKA
218.933, 2010, Sep Average, Sri Lanka, LKA
196.789, 2010, Oct Average, Sri Lanka, LKA
421.263, 2010, Nov Average, Sri Lanka, LKA
376.309, 2010, Dec Average, Sri Lanka, LKA
172.1, 2011, Jan Average, Sri Lanka, LKA
165.237, 2011, Feb Average, Sri Lanka, LKA
