Rainfall - (MM), Year, Statistics, Country, ISO3
72.1038, 2009, Dec Average, Bahrain, BHR
1.04631, 2010, Jan Average, Bahrain, BHR
2.9572, 2010, Feb Average, Bahrain, BHR
3.4429, 2010, Mar Average, Bahrain, BHR
10.0842, 2010, Apr Average, Bahrain, BHR
2.87026, 2010, May Average, Bahrain, BHR
0.00292, 2010, Jun Average, Bahrain, BHR
0, 2010, Jul Average, Bahrain, BHR
0, 2010, Aug Average, Bahrain, BHR
0.01169, 2010, Sep Average, Bahrain, BHR
0, 2010, Oct Average, Bahrain, BHR
8.41883, 2010, Nov Average, Bahrain, BHR
0.00204, 2010, Dec Average, Bahrain, BHR
39.3402, 2011, Jan Average, Bahrain, BHR
4.97146, 2011, Feb Average, Bahrain, BHR
0.57552, 2011, Mar Average, Bahrain, BHR
6.71047, 2011, Apr Average, Bahrain, BHR
0.00438, 2011, May Average, Bahrain, BHR
0.00292, 2011, Jun Average, Bahrain, BHR
0, 2011, Jul Average, Bahrain, BHR
0.01169, 2011, Aug Average, Bahrain, BHR
0.01169, 2011, Sep Average, Bahrain, BHR
0, 2011, Oct Average, Bahrain, BHR
7.3571, 2011, Nov Average, Bahrain, BHR
0, 2011, Dec Average, Bahrain, BHR
1.11323, 2012, Jan Average, Bahrain, BHR
1.9035, 2012, Feb Average, Bahrain, BHR
4.70533, 2012, Mar Average, Bahrain, BHR
3.30199, 2012, Apr Average, Bahrain, BHR
0.00204, 2012, May Average, Bahrain, BHR
0.02046, 2012, Jun Average, Bahrain, BHR
0, 2012, Jul Average, Bahrain, BHR
0.01169, 2012, Aug Average, Bahrain, BHR
0.01169, 2012, Sep Average, Bahrain, BHR
0.04319, 2012, Oct Average, Bahrain, BHR
9.46105, 2012, Nov Average, Bahrain, BHR
30.4664, 2012, Dec Average, Bahrain, BHR
4.72785, 2013, Jan Average, Bahrain, BHR
1.82046, 2013, Feb Average, Bahrain, BHR
8.7127, 2013, Mar Average, Bahrain, BHR
6.82362, 2013, Apr Average, Bahrain, BHR
0.92595, 2013, May Average, Bahrain, BHR
0.02046, 2013, Jun Average, Bahrain, BHR
0, 2013, Jul Average, Bahrain, BHR
0.01169, 2013, Aug Average, Bahrain, BHR
0.01169, 2013, Sep Average, Bahrain, BHR
0, 2013, Oct Average, Bahrain, BHR
11.5177, 2013, Nov Average, Bahrain, BHR
4.89888, 2013, Dec Average, Bahrain, BHR
48.7589, 2014, Jan Average, Bahrain, BHR
2.96554, 2014, Feb Average, Bahrain, BHR
6.04735, 2014, Mar Average, Bahrain, BHR
6.7917, 2014, Apr Average, Bahrain, BHR
0, 2014, May Average, Bahrain, BHR
0.02046, 2014, Jun Average, Bahrain, BHR
0, 2014, Jul Average, Bahrain, BHR
0.01169, 2014, Aug Average, Bahrain, BHR
0.01169, 2014, Sep Average, Bahrain, BHR
0.00087, 2014, Oct Average, Bahrain, BHR
29.0896, 2014, Nov Average, Bahrain, BHR
0.01256, 2014, Dec Average, Bahrain, BHR
6.02822, 2015, Jan Average, Bahrain, BHR
0.33905, 2015, Feb Average, Bahrain, BHR
9.52671, 2015, Mar Average, Bahrain, BHR
0, 2015, Apr Average, Bahrain, BHR
0.02917, 2015, May Average, Bahrain, BHR
0.02046, 2015, Jun Average, Bahrain, BHR
0, 2015, Jul Average, Bahrain, BHR
0.01169, 2015, Aug Average, Bahrain, BHR
0.01169, 2015, Sep Average, Bahrain, BHR
0, 2015, Oct Average, Bahrain, BHR
3.46523, 2015, Nov Average, Bahrain, BHR
31.4667, 2015, Dec Average, Bahrain, BHR
1.49188, 2016, Jan Average, Bahrain, BHR
2.79934, 2016, Feb Average, Bahrain, BHR
9.19501, 2016, Mar Average, Bahrain, BHR
2.78741, 2016, Apr Average, Bahrain, BHR
0.01429, 2016, May Average, Bahrain, BHR
0.02046, 2016, Jun Average, Bahrain, BHR
0, 2016, Jul Average, Bahrain, BHR
0.01169, 2016, Aug Average, Bahrain, BHR
0.01169, 2016, Sep Average, Bahrain, BHR
0, 2016, Oct Average, Bahrain, BHR
2.08697, 2016, Nov Average, Bahrain, BHR
0.03562, 2016, Dec Average, Bahrain, BHR
